algo,k,n,cost,wall,cpu
rrnn,1,1,5,5.0,0.000124,0.000124
rrnn,1,1,5,1.6618898722125257,4.7e-05,4.6e-05
rrnn,1,1,5,1.5346071521507416,4.3e-05,4.4e-05
rrnn,1,1,5,1.2754015017456721,3.7e-05,3.7e-05
rrnn,1,1,5,2.063214236978041,3.3e-05,3.3e-05
rrnn,1,1,5,1.1732601440847197,3.4e-05,3.5e-05
rrnn,1,1,5,1.780054743571514,3.2e-05,3.2e-05
rrnn,1,1,5,2.525504675545751,3.4e-05,3.4e-05
rrnn,1,1,5,1.839417464145442,3.4e-05,3.3e-05
rrnn,1,1,5,2.5317732913983138,3.2e-05,3.1e-05
rrnn,1,1,5,2.24481691734815,3.1e-05,3.2e-05
rrnn,1,1,10,2.658121203990162,8.7e-05,8.7e-05
rrnn,1,1,10,1.7054665240800413,7.6e-05,7.5e-05
rrnn,1,1,10,0.8982409106571694,7.8e-05,7.8e-05
rrnn,1,1,10,2.0373314944875967,6.8e-05,6.8e-05
rrnn,1,1,10,2.295275099745634,8.6e-05,8.6e-05
rrnn,1,1,10,1.0516241686244174,0.000117,0.000117
rrnn,1,1,10,1.9015919681483184,8.3e-05,8.2e-05
rrnn,1,1,10,2.7937176547106253,7.7e-05,7.7e-05
rrnn,1,1,10,2.2103962543042,8.6e-05,8.5e-05
rrnn,1,1,10,1.991330931770988,7.7e-05,7.6e-05
rrnn,1,1,15,1.5943389900048337,0.000178,0.000179
rrnn,1,1,15,2.8787640368115115,0.000205,0.000205
rrnn,1,1,15,1.714594547566009,0.000134,0.000133
rrnn,1,1,15,1.273388196928423,0.000133,0.000133
rrnn,1,1,15,2.223832232825413,0.00018,0.000179
rrnn,1,1,15,2.238085097087336,0.000225,0.000225
rrnn,1,1,15,1.5391218808086031,0.000135,0.000135
rrnn,1,1,15,2.1752161684938516,0.000158,0.000159
rrnn,1,1,15,1.936946861324419,0.000131,0.000131
rrnn,1,1,15,1.8641023123806288,0.000162,0.00016
rrnn,1,1,20,2.1463311891354477,0.00035,0.000349
rrnn,1,1,20,1.9451981987074234,0.000269,0.000268
rrnn,1,1,20,2.200548282655812,0.000289,0.00029
rrnn,1,1,20,2.1863097490824517,0.000307,0.000304
rrnn,1,1,20,2.1552901953034427,0.00039,0.000371
rrnn,1,1,20,2.006394711344241,0.000329,0.000328
rrnn,1,1,20,2.851471053688788,0.00025,0.00025
rrnn,1,1,20,2.087685105720495,0.000208,0.000208
rrnn,1,1,20,2.222300766011601,0.0002,0.0002
rrnn,1,1,20,2.336883263837917,0.000292,0.000293
rrnn,1,1,25,2.5589678761586696,0.00043,0.00043
rrnn,1,1,25,2.521791982366129,0.000663,0.000652
rrnn,1,1,25,2.426504557424607,0.00036,0.00036
rrnn,1,1,25,2.1044201282669444,0.000521,0.000521
rrnn,1,1,25,2.048602228545031,0.000421,0.000421
rrnn,1,1,25,2.449478375834267,0.000414,0.000414
rrnn,1,1,25,2.393806898188707,0.000348,0.000348
rrnn,1,1,25,2.542618635159628,0.000282,0.000282
rrnn,1,1,25,3.5873754413701646,0.00035,0.00035
rrnn,1,1,25,2.136365353792521,0.000419,0.000419
rrnn,1,1,30,2.0368708073844375,0.000625,0.000625
rrnn,1,1,30,3.036840463967237,0.000535,0.000531
rrnn,1,1,30,3.0877323800101424,0.000791,0.000741
rrnn,1,1,30,2.436195368587552,0.000447,0.000446
rrnn,1,1,30,3.105052236016106,0.000467,0.000466
rrnn,1,1,30,2.4645142767579356,0.000644,0.000645
rrnn,1,1,30,2.0321817707905008,0.001383,0.001282
rrnn,1,1,30,2.6671616598447465,0.000585,0.000586
rrnn,1,1,30,2.249770399447571,0.000382,0.000381
rrnn,1,1,30,2.4857005693095386,0.000601,0.000601
rrnn,1,2,5,5.0,7e-05,6.9e-05
rrnn,1,2,5,1.6618898722125257,5.1e-05,5.1e-05
rrnn,1,2,5,1.5346071521507416,5.6e-05,5.6e-05
rrnn,1,2,5,1.2754015017456721,5.8e-05,5.8e-05
rrnn,1,2,5,2.063214236978041,5.6e-05,5.5e-05
rrnn,1,2,5,1.1732601440847197,5.5e-05,5.4e-05
rrnn,1,2,5,1.780054743571514,4.9e-05,4.9e-05
rrnn,1,2,5,2.525504675545751,5.5e-05,5.5e-05
rrnn,1,2,5,1.839417464145442,5.9e-05,5.8e-05
rrnn,1,2,5,2.5317732913983138,5.4e-05,5.4e-05
rrnn,1,2,5,2.24481691734815,5.7e-05,5.6e-05
rrnn,1,2,10,2.602488580178617,0.000153,0.000153
rrnn,1,2,10,1.705466524080041,0.000141,0.000142
rrnn,1,2,10,0.8982409106571694,0.00013,0.000129
rrnn,1,2,10,2.037331494487596,0.000122,0.000122
rrnn,1,2,10,2.0750008600412837,0.000159,0.00016
rrnn,1,2,10,1.0516241686244174,0.000177,0.000176
rrnn,1,2,10,1.9015919681483184,0.00016,0.00016
rrnn,1,2,10,2.793717654710625,0.000154,0.000154
rrnn,1,2,10,2.2103962543041997,0.000149,0.000149
rrnn,1,2,10,1.9913309317709877,0.000166,0.000166
rrnn,1,2,15,1.5943389900048337,0.000306,0.000306
rrnn,1,2,15,2.8787640368115115,0.000334,0.000333
rrnn,1,2,15,1.7145945475660087,0.000271,0.000266
rrnn,1,2,15,1.1449968494956142,0.000284,0.000285
rrnn,1,2,15,2.013094757722992,0.000375,0.000373
rrnn,1,2,15,2.238085097087336,0.000341,0.000342
rrnn,1,2,15,1.4523489593554078,0.000323,0.000314
rrnn,1,2,15,2.041421064541035,0.000349,0.00034
rrnn,1,2,15,1.8380470438704422,0.000304,0.000303
rrnn,1,2,15,1.8641023123806288,0.000327,0.000326
rrnn,1,2,20,2.1463311891354477,0.000512,0.000513
rrnn,1,2,20,1.9451981987074234,0.000426,0.000426
rrnn,1,2,20,2.15418899718455,0.000478,0.000478
rrnn,1,2,20,2.1515121750824013,0.000512,0.000513
rrnn,1,2,20,2.155290195303442,0.000571,0.000571
rrnn,1,2,20,2.006394711344241,0.000569,0.000566
rrnn,1,2,20,2.5644561009366487,0.000493,0.000494
rrnn,1,2,20,2.087685105720495,0.000404,0.000405
rrnn,1,2,20,1.3389927919815099,0.000451,0.000451
rrnn,1,2,20,2.336883263837917,0.000513,0.000507
rrnn,1,2,25,2.4684126592910274,0.000947,0.000944
rrnn,1,2,25,2.263959228981687,0.001082,0.001066
rrnn,1,2,25,2.3380820264922653,0.00064,0.00064
rrnn,1,2,25,2.1044201282669444,0.00097,0.000958
rrnn,1,2,25,2.048602228545031,0.000745,0.000745
rrnn,1,2,25,2.3515951172396967,0.000886,0.000886
rrnn,1,2,25,2.1816227142927462,0.000833,0.000832
rrnn,1,2,25,2.3068202794473303,0.000657,0.000658
rrnn,1,2,25,3.4004905607965963,0.000624,0.000623
rrnn,1,2,25,2.136365353792521,0.000863,0.000863
rrnn,1,2,30,1.7960602276388324,0.00117,0.001159
rrnn,1,2,30,2.7578854262192745,0.001119,0.001091
rrnn,1,2,30,2.6403546390216035,0.001489,0.001467
rrnn,1,2,30,2.0910388472534347,0.001032,0.001027
rrnn,1,2,30,2.9858423257416984,0.001011,0.001011
rrnn,1,2,30,2.4645142767579356,0.00121,0.001209
rrnn,1,2,30,1.9139470073406042,0.001895,0.001895
rrnn,1,2,30,2.643417563612913,0.001243,0.001239
rrnn,1,2,30,2.249770399447571,0.000864,0.000857
rrnn,1,2,30,2.2841981837713172,0.000982,0.000982
rrnn,1,5,5,5.0,0.00014,0.00014
rrnn,1,5,5,1.6618898722125257,0.000123,0.000123
rrnn,1,5,5,1.5346071521507416,0.000156,0.000156
rrnn,1,5,5,1.2754015017456721,0.000132,0.000134
rrnn,1,5,5,2.063214236978041,0.000121,0.000122
rrnn,1,5,5,1.1732601440847197,0.000115,0.000115
rrnn,1,5,5,1.780054743571514,0.000115,0.000116
rrnn,1,5,5,2.525504675545751,0.000125,0.000125
rrnn,1,5,5,1.839417464145442,0.00013,0.00013
rrnn,1,5,5,2.5317732913983138,0.00012,0.000121
rrnn,1,5,5,2.24481691734815,0.000134,0.000133
rrnn,1,5,10,2.6024885801786164,0.000359,0.000358
rrnn,1,5,10,1.705466524080041,0.000366,0.000365
rrnn,1,5,10,0.8982409106571694,0.000348,0.000347
rrnn,1,5,10,2.037331494487596,0.000317,0.000318
rrnn,1,5,10,2.0750008600412837,0.000398,0.000398
rrnn,1,5,10,1.0516241686244174,0.000408,0.000409
rrnn,1,5,10,1.9015919681483184,0.000344,0.000344
rrnn,1,5,10,2.5901943608269633,0.000421,0.000417
rrnn,1,5,10,2.2103962543041997,0.000392,0.000392
rrnn,1,5,10,1.9913309317709875,0.000347,0.000346
rrnn,1,5,15,1.5943389900048337,0.000718,0.000711
rrnn,1,5,15,2.8637294101437845,0.000677,0.000677
rrnn,1,5,15,1.7145945475660087,0.000775,0.000719
rrnn,1,5,15,1.031025156438768,0.000696,0.000697
rrnn,1,5,15,1.9985334982339475,0.000763,0.000763
rrnn,1,5,15,2.238085097087336,0.000885,0.000885
rrnn,1,5,15,1.4523489593554075,0.000784,0.000779
rrnn,1,5,15,2.041421064541035,0.000687,0.000682
rrnn,1,5,15,1.8380470438704422,0.000718,0.000718
rrnn,1,5,15,1.8641023123806288,0.000747,0.000747
rrnn,1,5,20,2.1463311891354477,0.001398,0.001387
rrnn,1,5,20,1.9451981987074234,0.001102,0.001079
rrnn,1,5,20,1.9944839177041405,0.001036,0.001036
rrnn,1,5,20,2.1515121750824013,0.001244,0.001243
rrnn,1,5,20,1.9814170509901377,0.001228,0.001228
rrnn,1,5,20,2.006394711344241,0.001234,0.001232
rrnn,1,5,20,2.132121332736805,0.001215,0.001215
rrnn,1,5,20,2.087685105720495,0.001251,0.001251
rrnn,1,5,20,1.3389927919815099,0.00125,0.00124
rrnn,1,5,20,2.336883263837917,0.001361,0.001289
rrnn,1,5,25,2.2614992197882993,0.002398,0.002398
rrnn,1,5,25,2.263959228981687,0.002518,0.002519
rrnn,1,5,25,2.0904669105688125,0.001774,0.001767
rrnn,1,5,25,2.1044201282669444,0.002062,0.002052
rrnn,1,5,25,2.048602228545031,0.001708,0.001707
rrnn,1,5,25,2.3515951172396967,0.002304,0.002302
rrnn,1,5,25,2.0403701463117914,0.002288,0.002259
rrnn,1,5,25,2.3068202794473303,0.002016,0.001875
rrnn,1,5,25,3.2609236209821444,0.001818,0.001817
rrnn,1,5,25,2.136365353792521,0.001882,0.001882
rrnn,1,5,30,1.7832597922150137,0.002996,0.002969
rrnn,1,5,30,2.704132961434224,0.002782,0.002782
rrnn,1,5,30,2.4251486427719087,0.003431,0.00343
rrnn,1,5,30,1.7420073156318452,0.002743,0.002732
rrnn,1,5,30,2.847118636099611,0.002677,0.002676
rrnn,1,5,30,2.400197653077973,0.002694,0.002692
rrnn,1,5,30,1.8029385973319778,0.004083,0.004071
rrnn,1,5,30,2.563521488353364,0.002551,0.002551
rrnn,1,5,30,2.2012102979510564,0.002564,0.002562
rrnn,1,5,30,2.2452772514251986,0.002712,0.002713
rrnn,1,10,5,5.0,0.000243,0.000242
rrnn,1,10,5,1.6618898722125257,0.000239,0.000239
rrnn,1,10,5,1.5346071521507416,0.00026,0.000259
rrnn,1,10,5,1.2754015017456721,0.000248,0.000247
rrnn,1,10,5,2.063214236978041,0.000226,0.000227
rrnn,1,10,5,1.1732601440847197,0.000238,0.000238
rrnn,1,10,5,1.780054743571514,0.000231,0.000231
rrnn,1,10,5,2.525504675545751,0.000249,0.000249
rrnn,1,10,5,1.839417464145442,0.000251,0.000251
rrnn,1,10,5,2.5317732913983138,0.000237,0.000237
rrnn,1,10,5,2.2448169173481496,0.000241,0.000242
rrnn,1,10,10,2.6024885801786164,0.00072,0.00072
rrnn,1,10,10,1.7054665240800408,0.000716,0.000716
rrnn,1,10,10,0.8982409106571694,0.000667,0.000667
rrnn,1,10,10,1.8617680847271898,0.000625,0.000624
rrnn,1,10,10,2.0750008600412837,0.000772,0.000772
rrnn,1,10,10,1.0516241686244174,0.000874,0.00087
rrnn,1,10,10,1.9015919681483184,0.000659,0.000658
rrnn,1,10,10,2.5901943608269633,0.000673,0.000673
rrnn,1,10,10,2.2103962543041997,0.000712,0.000712
rrnn,1,10,10,1.9913309317709875,0.000669,0.000669
rrnn,1,10,15,1.5011559629590723,0.0013,0.001299
rrnn,1,10,15,2.8637294101437845,0.001444,0.001444
rrnn,1,10,15,1.6297062576093877,0.001409,0.001407
rrnn,1,10,15,1.031025156438768,0.001387,0.001388
rrnn,1,10,15,1.9985334982339475,0.001479,0.001479
rrnn,1,10,15,2.238085097087336,0.001773,0.001773
rrnn,1,10,15,1.4523489593554075,0.001612,0.001612
rrnn,1,10,15,1.961293756657378,0.001403,0.001404
rrnn,1,10,15,1.8380470438704422,0.001368,0.001366
rrnn,1,10,15,1.8641023123806288,0.001478,0.001469
rrnn,1,10,20,2.1463311891354477,0.002641,0.002638
rrnn,1,10,20,1.9451981987074234,0.001974,0.001974
rrnn,1,10,20,1.9713997608535228,0.002316,0.002262
rrnn,1,10,20,1.9447207706275813,0.002589,0.002589
rrnn,1,10,20,1.9407830498332226,0.002548,0.002545
rrnn,1,10,20,1.9561141784468956,0.002667,0.002665
rrnn,1,10,20,2.132121332736805,0.002338,0.002331
rrnn,1,10,20,2.087685105720494,0.002603,0.002604
rrnn,1,10,20,1.3389927919815099,0.002466,0.002466
rrnn,1,10,20,2.2542998202148343,0.00244,0.002434
rrnn,1,10,25,2.2614992197882993,0.004546,0.004545
rrnn,1,10,25,2.263959228981687,0.004659,0.004612
rrnn,1,10,25,2.0904669105688125,0.003437,0.003432
rrnn,1,10,25,1.9201956827025062,0.003951,0.003951
rrnn,1,10,25,1.9846761735505227,0.003582,0.003581
rrnn,1,10,25,2.3515951172396967,0.004576,0.004555
rrnn,1,10,25,2.0403701463117914,0.004131,0.004125
rrnn,1,10,25,1.8520212331726422,0.003062,0.003056
rrnn,1,10,25,3.2609236209821444,0.003644,0.003644
rrnn,1,10,25,2.0008558176067366,0.004054,0.004054
rrnn,1,10,30,1.7832597922150137,0.005948,0.005949
rrnn,1,10,30,2.704132961434224,0.005795,0.005796
rrnn,1,10,30,2.4251486427719087,0.006504,0.006502
rrnn,1,10,30,1.6999269139998374,0.005345,0.005326
rrnn,1,10,30,2.847118636099611,0.005163,0.005161
rrnn,1,10,30,2.400197653077973,0.005652,0.005618
rrnn,1,10,30,1.8029385973319778,0.007855,0.007823
rrnn,1,10,30,2.3831980217849837,0.00527,0.005255
rrnn,1,10,30,1.9573367309829788,0.005325,0.005288
rrnn,1,10,30,2.2452772514251986,0.006207,0.006079
rrnn,1,15,5,5.0,0.000455,0.000455
rrnn,1,15,5,1.6618898722125257,0.000347,0.000347
rrnn,1,15,5,1.5346071521507416,0.000383,0.000383
rrnn,1,15,5,1.2754015017456721,0.000377,0.000376
rrnn,1,15,5,2.063214236978041,0.000356,0.000356
rrnn,1,15,5,1.1732601440847197,0.000374,0.000373
rrnn,1,15,5,1.780054743571514,0.000411,0.000411
rrnn,1,15,5,2.525504675545751,0.000472,0.000445
rrnn,1,15,5,1.839417464145442,0.000399,0.0004
rrnn,1,15,5,2.5317732913983138,0.000345,0.000345
rrnn,1,15,5,2.2448169173481496,0.000391,0.000391
rrnn,1,15,10,2.6024885801786164,0.001122,0.001123
rrnn,1,15,10,1.7054665240800408,0.00118,0.001172
rrnn,1,15,10,0.8982409106571694,0.001028,0.001025
rrnn,1,15,10,1.8617680847271898,0.000904,0.000902
rrnn,1,15,10,2.0750008600412837,0.001188,0.001188
rrnn,1,15,10,1.0516241686244174,0.001129,0.001129
rrnn,1,15,10,1.9015919681483182,0.001044,0.001044
rrnn,1,15,10,2.5901943608269633,0.001116,0.001108
rrnn,1,15,10,2.2103962543041997,0.001112,0.001113
rrnn,1,15,10,1.9913309317709875,0.00107,0.00107
rrnn,1,15,15,1.5011559629590723,0.002042,0.00204
rrnn,1,15,15,2.7294686804179156,0.002205,0.002206
rrnn,1,15,15,1.5349680396509047,0.002035,0.002036
rrnn,1,15,15,1.031025156438768,0.002137,0.002136
rrnn,1,15,15,1.9985334982339475,0.002356,0.002325
rrnn,1,15,15,2.238085097087336,0.002986,0.002832
rrnn,1,15,15,1.4523489593554075,0.002399,0.0024
rrnn,1,15,15,1.961293756657378,0.002059,0.002041
rrnn,1,15,15,1.8380470438704422,0.002434,0.002315
rrnn,1,15,15,1.8641023123806288,0.002132,0.002132
rrnn,1,15,20,2.1463311891354477,0.004024,0.004007
rrnn,1,15,20,1.9451981987074234,0.003286,0.003286
