algo,k,n,cost,wall,cpu
rrnn,1,15,20,1.9713997608535228,0.003301,0.003301
rrnn,1,15,20,1.9447207706275813,0.003819,0.003808
rrnn,1,15,20,1.9407830498332226,0.003834,0.003831
rrnn,1,15,20,1.9561141784468956,0.003884,0.003874
rrnn,1,15,20,2.132121332736805,0.003369,0.003369
rrnn,1,15,20,2.087685105720494,0.003956,0.00394
rrnn,1,15,20,1.3389927919815099,0.003849,0.003848
rrnn,1,15,20,2.2471901116565407,0.00379,0.003765
rrnn,1,15,25,2.2614992197882993,0.006587,0.006581
rrnn,1,15,25,2.263959228981687,0.006472,0.006472
rrnn,1,15,25,2.0199335266629204,0.005504,0.005459
rrnn,1,15,25,1.9201956827025062,0.006124,0.006104
rrnn,1,15,25,1.9846761735505227,0.005422,0.005419
rrnn,1,15,25,2.3515951172396967,0.006114,0.006112
rrnn,1,15,25,2.0403701463117914,0.006473,0.00647
rrnn,1,15,25,1.8520212331726422,0.004786,0.004788
rrnn,1,15,25,3.2609236209821444,0.005522,0.005523
rrnn,1,15,25,1.9509542082901272,0.006003,0.005997
rrnn,1,15,30,1.7832597922150137,0.008467,0.008465
rrnn,1,15,30,2.688354959190755,0.008421,0.008416
rrnn,1,15,30,2.4251486427719087,0.009481,0.009476
rrnn,1,15,30,1.6999269139998374,0.008544,0.008543
rrnn,1,15,30,2.847118636099611,0.007842,0.007836
rrnn,1,15,30,2.400197653077973,0.008186,0.008185
rrnn,1,15,30,1.8029385973319778,0.010742,0.010741
rrnn,1,15,30,2.3831980217849837,0.007708,0.007705
rrnn,1,15,30,1.9573367309829788,0.007951,0.007943
rrnn,1,15,30,2.2452772514251986,0.008784,0.008781
rrnn,1,20,5,5.0,0.000485,0.000484
rrnn,1,20,5,1.6618898722125257,0.000484,0.000485
rrnn,1,20,5,1.5346071521507416,0.000536,0.000536
rrnn,1,20,5,1.2754015017456721,0.00049,0.00049
rrnn,1,20,5,2.063214236978041,0.00049,0.000488
rrnn,1,20,5,1.1732601440847197,0.000514,0.00051
rrnn,1,20,5,1.780054743571514,0.000481,0.000481
rrnn,1,20,5,2.525504675545751,0.000449,0.000448
rrnn,1,20,5,1.839417464145442,0.000473,0.000472
rrnn,1,20,5,2.5317732913983138,0.00045,0.000448
rrnn,1,20,5,2.2448169173481496,0.000479,0.000478
rrnn,1,20,10,2.6024885801786164,0.001432,0.001432
rrnn,1,20,10,1.7054665240800408,0.001437,0.001438
rrnn,1,20,10,0.8982409106571694,0.001306,0.001306
rrnn,1,20,10,1.8617680847271894,0.001254,0.001254
rrnn,1,20,10,2.0750008600412837,0.001629,0.001626
rrnn,1,20,10,1.0516241686244174,0.001438,0.001437
rrnn,1,20,10,1.9015919681483182,0.001315,0.001317
rrnn,1,20,10,2.5475022239206417,0.001401,0.001401
rrnn,1,20,10,2.2103962543041997,0.001416,0.001416
rrnn,1,20,10,1.9913309317709875,0.001406,0.001405
rrnn,1,20,15,1.5011559629590723,0.002658,0.002656
rrnn,1,20,15,2.7294686804179156,0.00285,0.00285
rrnn,1,20,15,1.5349680396509047,0.002683,0.002682
rrnn,1,20,15,1.031025156438768,0.002786,0.002784
rrnn,1,20,15,1.9985334982339475,0.002921,0.002921
rrnn,1,20,15,2.238085097087336,0.003332,0.003331
rrnn,1,20,15,1.4523489593554075,0.00323,0.003229
rrnn,1,20,15,1.9612937566573776,0.002691,0.002691
rrnn,1,20,15,1.8380470438704422,0.002703,0.002701
rrnn,1,20,15,1.8641023123806288,0.002637,0.002636
rrnn,1,20,20,2.1463311891354477,0.005283,0.005284
rrnn,1,20,20,1.9451981987074234,0.00417,0.004164
rrnn,1,20,20,1.9713997608535228,0.00431,0.00431
rrnn,1,20,20,1.7425459595801298,0.005112,0.005105
rrnn,1,20,20,1.9407830498332226,0.005166,0.005159
rrnn,1,20,20,1.9561141784468956,0.005034,0.005034
rrnn,1,20,20,2.132121332736805,0.004207,0.0042
rrnn,1,20,20,2.087685105720494,0.004846,0.004847
rrnn,1,20,20,1.3389927919815094,0.004821,0.004815
rrnn,1,20,20,2.189192056050209,0.004828,0.004824
rrnn,1,20,25,2.2614992197882993,0.008764,0.00876
rrnn,1,20,25,2.263959228981687,0.008178,0.008178
rrnn,1,20,25,2.0199335266629204,0.00735,0.00735
rrnn,1,20,25,1.9201956827025062,0.007633,0.007628
rrnn,1,20,25,1.8919019366029544,0.007357,0.007351
rrnn,1,20,25,2.246164870535491,0.008199,0.00819
rrnn,1,20,25,2.0289837847133727,0.008757,0.008755
rrnn,1,20,25,1.8520212331726422,0.006239,0.006233
rrnn,1,20,25,3.2609236209821444,0.00687,0.006867
rrnn,1,20,25,1.9509542082901272,0.007936,0.007933
rrnn,1,20,30,1.7832597922150137,0.011207,0.011203
rrnn,1,20,30,2.6568429198188133,0.01077,0.010766
rrnn,1,20,30,2.335575845306596,0.012333,0.012327
rrnn,1,20,30,1.6999269139998374,0.011218,0.011213
rrnn,1,20,30,2.847118636099611,0.010307,0.010305
rrnn,1,20,30,2.400197653077973,0.010779,0.010774
rrnn,1,20,30,1.8029385973319778,0.014149,0.014147
rrnn,1,20,30,2.3831980217849837,0.009885,0.009881
rrnn,1,20,30,1.9573367309829788,0.01016,0.010157
rrnn,1,20,30,2.2452772514251986,0.011112,0.011111
rrnn,1,30,5,5.0,0.000736,0.000736
rrnn,1,30,5,1.6618898722125257,0.000696,0.000697
rrnn,1,30,5,1.5346071521507416,0.000788,0.000787
rrnn,1,30,5,1.2754015017456721,0.000656,0.000656
rrnn,1,30,5,2.063214236978041,0.000647,0.000647
rrnn,1,30,5,1.1732601440847197,0.000646,0.000646
rrnn,1,30,5,1.780054743571514,0.00071,0.000711
rrnn,1,30,5,2.525504675545751,0.000742,0.000742
rrnn,1,30,5,1.839417464145442,0.000731,0.000732
rrnn,1,30,5,2.5317732913983138,0.000686,0.000686
rrnn,1,30,5,2.2448169173481496,0.000713,0.000713
rrnn,1,30,10,2.6024885801786164,0.002181,0.002181
rrnn,1,30,10,1.7054665240800408,0.002054,0.002052
rrnn,1,30,10,0.8982409106571694,0.001881,0.001881
rrnn,1,30,10,1.8617680847271894,0.0018,0.0018
rrnn,1,30,10,2.0750008600412837,0.002374,0.002374
rrnn,1,30,10,1.0516241686244174,0.002362,0.002346
rrnn,1,30,10,1.9015919681483182,0.002032,0.002031
rrnn,1,30,10,2.5475022239206417,0.002126,0.002126
rrnn,1,30,10,2.2103962543041997,0.002192,0.002191
rrnn,1,30,10,1.9913309317709875,0.001895,0.001895
rrnn,1,30,15,1.5011559629590723,0.004067,0.004066
rrnn,1,30,15,2.7294686804179156,0.004202,0.0042
rrnn,1,30,15,1.5349680396509047,0.003916,0.003915
rrnn,1,30,15,1.031025156438768,0.004217,0.004214
rrnn,1,30,15,1.9985334982339475,0.004339,0.00434
rrnn,1,30,15,2.238085097087336,0.004861,0.004858
rrnn,1,30,15,1.4523489593554075,0.004585,0.004586
rrnn,1,30,15,1.9612937566573776,0.003957,0.003956
rrnn,1,30,15,1.8380470438704417,0.003899,0.003899
rrnn,1,30,15,1.8641023123806288,0.004138,0.004134
rrnn,1,30,20,2.1463311891354477,0.00764,0.007634
rrnn,1,30,20,1.9451981987074234,0.006114,0.006115
rrnn,1,30,20,1.9713997608535228,0.006571,0.006568
rrnn,1,30,20,1.7425459595801298,0.007619,0.007613
rrnn,1,30,20,1.9407830498332226,0.007137,0.007135
rrnn,1,30,20,1.9561141784468956,0.007204,0.007199
rrnn,1,30,20,2.109137769133671,0.006361,0.006358
rrnn,1,30,20,2.0294141169830837,0.007274,0.007265
rrnn,1,30,20,1.3389927919815094,0.006768,0.006769
rrnn,1,30,20,2.1803995009132597,0.007313,0.007306
rrnn,1,30,25,2.2614992197882993,0.012687,0.012677
rrnn,1,30,25,2.261514568381124,0.012987,0.012983
rrnn,1,30,25,2.0199335266629204,0.010943,0.010938
rrnn,1,30,25,1.9201956827025062,0.011813,0.011812
rrnn,1,30,25,1.8919019366029544,0.011127,0.011123
rrnn,1,30,25,2.246164870535491,0.013673,0.013349
rrnn,1,30,25,1.9166528420670548,0.012419,0.012421
rrnn,1,30,25,1.8520212331726422,0.009402,0.009389
rrnn,1,30,25,3.2479608682618806,0.010679,0.01068
rrnn,1,30,25,1.9509542082901272,0.012078,0.012075
rrnn,1,30,30,1.669808316641153,0.017947,0.017939
rrnn,1,30,30,2.6568429198188133,0.016935,0.016929
rrnn,1,30,30,2.2100946749920194,0.018355,0.018354
rrnn,1,30,30,1.6999269139998374,0.016408,0.016405
rrnn,1,30,30,2.847118636099611,0.015882,0.015877
rrnn,1,30,30,2.332532977687442,0.016561,0.01656
rrnn,1,30,30,1.6316354588926796,0.0188,0.018796
rrnn,1,30,30,2.2877474722651776,0.014735,0.014733
rrnn,1,30,30,1.9573367309829788,0.015177,0.015177
rrnn,1,30,30,2.179892327484268,0.016723,0.01672
rrnn,1,50,5,5.0,0.001194,0.001194
rrnn,1,50,5,1.6618898722125257,0.00117,0.001169
rrnn,1,50,5,1.5346071521507416,0.00125,0.001249
rrnn,1,50,5,1.2754015017456721,0.001213,0.001214
rrnn,1,50,5,2.063214236978041,0.001196,0.001196
rrnn,1,50,5,1.1732601440847197,0.001172,0.001172
rrnn,1,50,5,1.780054743571514,0.001242,0.001241
rrnn,1,50,5,2.525504675545751,0.001226,0.001226
rrnn,1,50,5,1.839417464145442,0.001252,0.001253
rrnn,1,50,5,2.5317732913983138,0.001176,0.001176
rrnn,1,50,5,2.2448169173481496,0.001249,0.001249
rrnn,1,50,10,2.6024885801786164,0.003639,0.00364
rrnn,1,50,10,1.7054665240800408,0.003659,0.003659
rrnn,1,50,10,0.8982409106571694,0.003326,0.003326
rrnn,1,50,10,1.8617680847271894,0.003103,0.003103
rrnn,1,50,10,2.0750008600412837,0.004028,0.004028
rrnn,1,50,10,1.0516241686244174,0.003847,0.003847
rrnn,1,50,10,1.9015919681483182,0.003403,0.003403
rrnn,1,50,10,2.5475022239206417,0.003639,0.003639
rrnn,1,50,10,2.2103962543041997,0.003563,0.003563
rrnn,1,50,10,1.9913309317709875,0.00349,0.00349
rrnn,1,50,15,1.5011559629590723,0.006813,0.006812
rrnn,1,50,15,2.7294686804179156,0.006995,0.006994
rrnn,1,50,15,1.5349680396509047,0.00663,0.00663
rrnn,1,50,15,1.031025156438768,0.007378,0.007378
rrnn,1,50,15,1.9985334982339475,0.00743,0.007429
rrnn,1,50,15,2.238085097087336,0.008306,0.008308
rrnn,1,50,15,1.4523489593554075,0.00767,0.00767
rrnn,1,50,15,1.9612937566573776,0.00688,0.00688
rrnn,1,50,15,1.8380470438704417,0.006562,0.006562
rrnn,1,50,15,1.8436531074078264,0.006961,0.006961
rrnn,1,50,20,2.1463311891354477,0.012434,0.012427
rrnn,1,50,20,1.9451981987074234,0.010658,0.010658
rrnn,1,50,20,1.9713997608535228,0.011076,0.011076
rrnn,1,50,20,1.7425459595801298,0.01236,0.012359
rrnn,1,50,20,1.9407830498332226,0.011963,0.011963
rrnn,1,50,20,1.9561141784468956,0.012041,0.012042
rrnn,1,50,20,2.109137769133671,0.010505,0.010505
rrnn,1,50,20,2.0294141169830837,0.012483,0.012482
rrnn,1,50,20,1.3389927919815094,0.011034,0.011034
rrnn,1,50,20,2.1803995009132597,0.012108,0.012109
rrnn,1,50,25,2.2614992197882993,0.021282,0.021283
rrnn,1,50,25,2.261514568381124,0.023075,0.023076
rrnn,1,50,25,2.0199335266629204,0.017934,0.017935
rrnn,1,50,25,1.9201956827025062,0.020643,0.020639
rrnn,1,50,25,1.8919019366029544,0.018714,0.018713
rrnn,1,50,25,2.246164870535491,0.02078,0.02078
rrnn,1,50,25,1.9166528420670548,0.019098,0.019097
rrnn,1,50,25,1.8520212331726422,0.01587,0.01587
rrnn,1,50,25,3.2479608682618806,0.01786,0.01786
rrnn,1,50,25,1.9509542082901272,0.020226,0.020226
rrnn,1,50,30,1.6358489975138362,0.030491,0.030491
rrnn,1,50,30,2.6568429198188133,0.028555,0.028555
rrnn,1,50,30,2.2100946749920194,0.029595,0.029596
rrnn,1,50,30,1.6366668445125812,0.027272,0.027266
rrnn,1,50,30,2.847118636099611,0.026694,0.026688
rrnn,1,50,30,2.332532977687442,0.0275,0.0275
rrnn,1,50,30,1.6316354588926796,0.031356,0.031355
rrnn,1,50,30,2.2877474722651776,0.024598,0.024598
rrnn,1,50,30,1.9573367309829788,0.02679,0.026791
rrnn,1,50,30,2.179892327484268,0.027922,0.027921
rrnn,1,100,5,5.0,0.002342,0.002341
rrnn,1,100,5,1.6618898722125257,0.002325,0.002325
rrnn,1,100,5,1.5346071521507416,0.002462,0.002461
rrnn,1,100,5,1.2754015017456721,0.002385,0.002385
rrnn,1,100,5,2.063214236978041,0.002403,0.002404
rrnn,1,100,5,1.1732601440847197,0.002315,0.002315
rrnn,1,100,5,1.780054743571514,0.002464,0.002464
rrnn,1,100,5,2.525504675545751,0.002423,0.002423
rrnn,1,100,5,1.839417464145442,0.002472,0.002473
rrnn,1,100,5,2.5317732913983138,0.00232,0.00232
rrnn,1,100,5,2.2448169173481496,0.002479,0.002479
rrnn,1,100,10,2.6024885801786164,0.007279,0.007278
rrnn,1,100,10,1.7054665240800408,0.007257,0.007256
rrnn,1,100,10,0.8982409106571694,0.006461,0.006462
rrnn,1,100,10,1.8617680847271894,0.006329,0.00633
rrnn,1,100,10,2.0750008600412837,0.008102,0.008102
rrnn,1,100,10,1.0516241686244174,0.0074,0.0074
rrnn,1,100,10,1.9015919681483182,0.006799,0.006799
rrnn,1,100,10,2.5475022239206417,0.007351,0.007351
rrnn,1,100,10,2.2103962543041997,0.007134,0.007133
rrnn,1,100,10,1.9913309317709875,0.007045,0.007044
rrnn,1,100,15,1.5011559629590718,0.013946,0.013946
rrnn,1,100,15,2.7294686804179156,0.013882,0.013883
rrnn,1,100,15,1.5349680396509047,0.013791,0.01379
rrnn,1,100,15,1.031025156438768,0.014197,0.014196
rrnn,1,100,15,1.9985334982339475,0.014379,0.01438
rrnn,1,100,15,2.238085097087336,0.015863,0.015864
rrnn,1,100,15,1.4523489593554075,0.015244,0.015245
rrnn,1,100,15,1.9612937566573776,0.013485,0.013486
rrnn,1,100,15,1.8380470438704415,0.012938,0.012938
rrnn,1,100,15,1.7660955949415027,0.013654,0.013655
rrnn,1,100,20,2.1463311891354477,0.025798,0.025799
rrnn,1,100,20,1.9451981987074234,0.02238,0.022381
rrnn,1,100,20,1.9713997608535228,0.022631,0.022631
rrnn,1,100,20,1.7425459595801298,0.025169,0.025169
rrnn,1,100,20,1.9407830498332226,0.024463,0.02446
rrnn,1,100,20,1.9561141784468956,0.024174,0.024175
rrnn,1,100,20,2.109137769133671,0.020999,0.021
rrnn,1,100,20,2.0294141169830837,0.025309,0.02531
rrnn,1,100,20,1.3389927919815094,0.022188,0.022188
rrnn,1,100,20,2.1803995009132597,0.025445,0.025444
rrnn,1,100,25,2.2614992197882993,0.041178,0.041178
rrnn,1,100,25,2.261514568381124,0.044857,0.044857
rrnn,1,100,25,2.0199335266629204,0.036891,0.036891
rrnn,1,100,25,1.9201956827025062,0.041109,0.041081
rrnn,1,100,25,1.8919019366029544,0.038994,0.038995
rrnn,1,100,25,2.246164870535491,0.041049,0.041049
rrnn,1,100,25,1.885951315148204,0.038446,0.038447
rrnn,1,100,25,1.852021233172642,0.031947,0.031948
rrnn,1,100,25,3.2222890934405455,0.036781,0.036766
rrnn,1,100,25,1.9509542082901272,0.040824,0.04075
rrnn,1,100,30,1.6358489975138362,0.078936,0.074989
rrnn,1,100,30,2.6568429198188133,0.057632,0.057418
rrnn,1,100,30,2.2100946749920194,0.05836,0.058259
rrnn,1,100,30,1.6366668445125812,0.05762,0.057524
rrnn,1,100,30,2.847118636099611,0.057097,0.056296
rrnn,1,100,30,2.332532977687442,0.057845,0.057696
rrnn,1,100,30,1.6316354588926796,0.059353,0.059321
rrnn,1,100,30,2.2877474722651776,0.050528,0.050511
rrnn,1,100,30,1.9573367309829788,0.056014,0.055979
rrnn,1,100,30,2.179892327484268,0.055352,0.055308
